"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.742987792E0,1.024415372E0,1.263962275E-1,-4.513126624E-1,1.126537163E0
1.752950792E0,1.207214609E0,-5.026803788E-2,-3.185375977E-1,1.249543992E0
1.762913792E0,1.421709555E0,-2.982718426E-1,7.395032108E-2,1.454542128E0
1.772875792E0,1.227623949E0,-5.999344124E-1,2.191448718E-1,1.383837539E0
1.782838792E0,1.009322685E0,-8.078730954E-1,2.150705320E-1,1.310590155E0
1.792801792E0,8.668690163E-1,-9.715289871E-1,3.135165936E-1,1.339262155E0
1.802764792E0,8.036617845E-1,-9.275505432E-1,3.496880543E-1,1.276128524E0
1.812726792E0,1.149815489E0,-6.807944613E-1,2.121457547E-1,1.352982845E0
1.822689792E0,1.927302798E0,-3.704056896E-1,1.198638278E-1,1.966230858E0
1.832652792E0,2.745888431E0,-1.093404111E-1,-1.029636204E-2,2.748083808E0
1.842615792E0,3.872518833E0,-9.423087694E-2,-3.185931462E-1,3.886744546E0
1.852577792E0,4.912494376E0,-8.678601924E-3,-2.530446893E-1,4.919014935E0
1.862540792E0,5.489088897E0,5.849260351E-2,-8.017117381E-2,5.489985949E0
1.872503792E0,5.847350723E0,-9.114961356E-2,-1.119741797E-1,5.849133008E0
1.882466792E0,6.035090200E0,-2.107829515E-1,-4.562290013E-2,6.038942343E0
1.892428792E0,6.000537248E0,-3.776079243E-1,2.238396013E-1,6.016572046E0
1.902391792E0,5.815853527E0,-6.175060994E-1,5.880726045E-1,5.878034996E0
1.912354792E0,5.787669947E0,-8.073718429E-1,8.927604872E-1,5.911513681E0
1.922317792E0,5.762507039E0,-8.728149037E-1,9.499614590E-1,5.905143521E0
1.932279792E0,5.690675749E0,-8.118805578E-1,7.425063407E-1,5.796055226E0
1.942242792E0,5.897574797E0,-5.031154847E-1,4.490614843E-1,5.936006224E0
1.952205792E0,6.141449883E0,-1.099692791E-1,-2.881507874E-3,6.142435039E0
1.962168792E0,6.451081002E0,2.643900418E-1,-5.728213120E-1,6.481857175E0
1.972130792E0,6.496623795E0,4.888199561E-1,-8.678320527E-1,6.572533618E0
1.982093792E0,5.994269033E0,4.752685587E-1,-9.617588013E-1,6.089509129E0
1.992056792E0,5.316276192E0,2.719184051E-1,-8.891983634E-1,5.396981184E0
2.002019792E0,4.499564007E0,-2.116793479E-2,-6.028070033E-1,4.539812839E0
2.011981792E0,3.921786595E0,-1.823540082E-1,-2.825982714E-1,3.936181508E0
2.021944792E0,3.670759195E0,-2.306582222E-1,-8.531321526E-2,3.678988262E0
2.031907792E0,3.579447906E0,-2.288230187E-1,-3.888480270E-1,3.607770790E0
2.041870792E0,3.555546535E0,-1.922774275E-1,-8.443747777E-1,3.659487742E0
2.051832792E0,3.318087599E0,-2.154013747E-1,-1.284559019E0,3.564575001E0
2.061795792E0,3.059942676E0,-2.488270926E-1,-1.395406440E0,3.372287537E0
2.071758792E0,2.721261713E0,-2.987858676E-1,-1.121898835E0,2.958579947E0
2.081721792E0,2.970827309E0,-4.235408365E-1,-4.419313896E-1,3.033233438E0
2.091683792E0,3.223505085E0,-3.668145124E-1,6.584064227E-1,3.310443616E0
2.101646792E0,2.908758237E0,-4.039632256E-1,1.243054898E0,3.188925564E0
2.111609792E0,2.514794189E0,-8.970402836E-1,1.349680629E0,2.991740110E0
2.121572792E0,1.721544395E0,-1.335677571E0,1.368526790E0,2.573055626E0
2.131534792E0,7.610216222E-1,-1.623749713E0,1.248327917E0,2.184957581E0
2.141497792E0,1.426133157E-1,-1.548983560E0,7.581862342E-1,1.730472476E0
2.151460792E0,4.970438456E-2,-1.171024949E0,2.621412027E-1,1.201036205E0
2.161422792E0,1.284719617E-2,-7.575195055E-1,-4.658710599E-2,7.590594246E-1
2.171385792E0,-6.352608774E-2,-7.682630333E-1,-4.616493702E-2,7.722660511E-1
2.181348792E0,3.739994614E-1,-7.677652891E-1,7.654414594E-2,8.574369613E-1
2.191311792E0,6.750155850E-1,-1.080991642E0,6.367284554E-1,1.424644550E0
2.201273792E0,3.542875107E-1,-1.424090395E0,9.366929573E-1,1.740961456E0
2.211236792E0,-1.379324916E-1,-1.955683721E0,9.254668880E-1,2.167997497E0
2.221199792E0,-1.064477387E-1,-1.931957035E0,9.251710188E-1,2.144698235E0
2.231162792E0,-1.376777211E0,-2.183373713E0,9.434540927E-1,2.748225225E0
2.241124792E0,-1.572479719E0,-1.936164984E0,1.195707069E0,2.766069903E0
2.251087792E0,-1.553344998E0,-1.926178671E0,1.195679002E0,2.748216372E0
2.261050792E0,-1.857563057E0,-1.646310903E0,1.698808520E0,3.007794954E0
2.271013792E0,-1.879424188E0,-1.655499948E0,1.698906169E0,3.026416615E0
2.280975792E0,-1.621396063E0,-1.443664388E0,1.949834751E0,2.918038316E0
2.290938792E0,-1.700165659E0,-1.191444668E0,1.644309547E0,2.648368847E0
2.300902250E0,-1.736390476E0,-1.227009261E0,1.644585536E0,2.687985341E0
2.310865250E0,-1.981521836E0,-1.426132682E0,7.539405710E-1,2.555133968E0
2.320827250E0,-1.991659154E0,-1.460561380E0,7.538499391E-1,2.582292675E0
2.330790250E0,-2.335822612E0,-1.410662411E0,9.921900505E-1,2.903528338E0
2.340753250E0,-2.838439330E0,-1.458751520E0,6.396871465E-1,3.254826181E0
2.350716250E0,-3.114992165E0,-1.383008004E0,3.672519207E-1,3.427938345E0
2.360678250E0,-3.402635121E0,-1.208938002E0,2.761844605E-1,3.621565231E0
2.370641250E0,-3.833661746E0,-1.028826877E0,3.007667398E-1,3.980691869E0
2.380604250E0,-4.492475427E0,-9.692653837E-1,2.280934507E-1,4.601503827E0
2.390567250E0,-4.977992547E0,-8.273738520E-1,5.570993185E-2,5.046589035E0
2.400529250E0,-5.290211059E0,-6.980119532E-1,-1.701352644E-1,5.338773243E0
2.410492250E0,-5.598137714E0,-5.827934093E-1,-6.420605314E-1,5.664895034E0
2.420455250E0,-5.636182038E0,-4.719380578E-1,-8.429732001E-1,5.718380655E0
2.430418250E0,-5.543994836E0,-4.852612675E-1,-6.590098554E-1,5.604074520E0
2.440380250E0,-5.532892143E0,-5.895854620E-1,-3.887380993E-1,5.577779468E0
2.450343250E0,-5.706433411E0,-5.897790779E-1,-2.328139079E-1,5.741552399E0
2.460306250E0,-5.903080536E0,-4.093129163E-1,-3.500868344E-1,5.927601342E0
2.470269250E0,-5.895831742E0,-4.512888350E-1,-3.483063573E-1,5.923327685E0
2.480231250E0,-6.756393367E0,4.859968107E-2,-1.155276496E0,6.854624500E0
2.490194250E0,-7.020188747E0,2.772508099E-1,-1.493581776E0,7.182666954E0
2.500157250E0,-7.170452834E0,4.634320401E-1,-1.557520494E0,7.352280815E0
2.510120250E0,-7.438504987E0,4.248851480E-1,-1.612725227E0,7.623172993E0
2.520082250E0,-7.470165321E0,4.022989619E-1,-1.609211050E0,7.652109159E0
2.530045250E0,-7.357196530E0,4.045816418E-1,-1.402449412E0,7.500592739E0
2.540008250E0,-7.042127500E0,5.036761596E-1,-1.073561073E0,7.141273190E0
2.549971250E0,-6.651347553E0,6.316690059E-1,-1.160696281E0,6.781345432E0
2.559933250E0,-6.680083694E0,6.259353724E-1,-1.158174376E0,6.808574090E0
2.569896250E0,-5.356377566E0,6.890407895E-1,-9.850079155E-1,5.489608223E0
2.579859250E0,-4.965692929E0,5.986529220E-1,-8.604043347E-1,5.075114502E0
2.589821250E0,-4.440672897E0,3.381377569E-1,-8.138125509E-1,4.527273329E0
2.599784250E0,-3.841325399E0,1.151273639E-1,-6.688600749E-1,3.900821572E0
2.609747250E0,-3.445299330E0,1.461059124E-1,-3.834633261E-1,3.469651068E0
2.619710250E0,-3.459915615E0,1.469710810E-1,-3.822301483E-1,3.484066080E0
2.629672250E0,-3.199109040E0,7.769085802E-2,-1.615994990E-1,3.204129978E0
2.639635250E0,-2.899154186E0,9.334940918E-2,-2.261492515E-1,2.909459157E0
2.649598250E0,-2.614930681E0,1.088211418E-1,-2.687386161E-1,2.630955140E0
2.659561250E0,-2.410182531E0,-9.832385480E-3,-4.466863453E-1,2.451245642E0
2.669523250E0,-2.394577774E0,8.843913674E-6,-4.487890041E-1,2.436270569E0
2.679486250E0,-1.759643244E0,-1.631406058E-1,-2.046607339E-1,1.779001186E0
2.689449250E0,-1.647464412E0,-2.636416713E-1,-1.990152472E-1,1.680253847E0
2.699412250E0,-1.605969939E0,-3.844226349E-1,-3.533928502E-1,1.688729319E0
2.709374250E0,-1.755881438E0,-4.856318714E-1,-4.477897149E-1,1.876026004E0
2.719337250E0,-1.731216421E0,-4.701628431E-1,-4.506682992E-1,1.849666270E0
2.729300250E0,-1.710122737E0,-6.033840504E-1,-7.497679979E-1,1.962331302E0
2.739263250E0,-1.656987480E0,-7.074724558E-1,-8.051364523E-1,1.973415691E0
2.749225250E0,-1.535427082E0,-9.441346356E-1,-5.700877386E-1,1.890483157E0
2.759188250E0,-1.299430243E0,-1.333049540E0,-1.078986704E-2,1.861627367E0
2.769151250E0,-8.599877205E-1,-1.586064701E0,6.749534583E-1,1.926328707E0
2.779114250E0,-1.841640504E-1,-1.666784928E0,1.093222336E0,2.001805053E0
2.789076250E0,1.876433630E-1,-1.638899411E0,9.791250318E-1,1.918303192E0
2.799039250E0,6.728643943E-1,-1.535417727E0,4.531890339E-1,1.736558202E0
2.809002250E0,1.375430013E0,-1.388064823E0,7.923795819E-2,1.955712230E0
2.818964250E0,2.017945019E0,-1.258010321E0,3.021835202E-1,2.397083008E0
2.828927250E0,2.325580776E0,-1.286447085E0,6.056236070E-1,2.725812173E0
2.838890250E0,2.405397900E0,-1.555301184E0,8.753661901E-1,2.995190611E0
2.848853250E0,1.930193661E0,-1.770137827E0,8.216630226E-1,2.744843460E0
2.858815250E0,1.386487390E0,-1.980400925E0,5.415018708E-1,2.477409813E0
2.868778250E0,1.393202479E0,-2.020036422E0,6.144721985E-1,2.529651434E0
2.878741250E0,1.700660334E0,-1.905982972E0,9.090631092E-1,2.711348815E0
2.888704250E0,2.218330854E0,-1.856479860E0,8.955969715E-1,3.028135265E0
2.898666250E0,2.842342346E0,-1.811382478E0,8.091745394E-1,3.466234258E0
2.908629250E0,3.272322904E0,-1.708166989E0,7.276871574E-1,3.762374283E0
2.918592250E0,3.615416761E0,-1.591948462E0,5.546329629E-1,3.989129727E0
2.928555250E0,3.716911853E0,-1.425629967E0,4.441983551E-1,4.005641859E0
2.938517250E0,3.957736446E0,-1.329451456E0,5.134282190E-1,4.206510132E0
2.948480250E0,4.144256778E0,-1.325205354E0,7.286537021E-1,4.411572247E0
2.958443250E0,4.233891963E0,-1.526348842E0,8.683325744E-1,4.583621210E0
2.968405250E0,4.271888925E0,-1.653837000E0,9.058237517E-1,4.669553349E0
2.978368250E0,4.263869761E0,-1.507831733E0,8.466779959E-1,4.601196094E0
2.988331250E0,4.338113612E0,-1.276026470E0,6.540005457E-1,4.568937511E0
2.998294250E0,4.582076114E0,-1.210647144E0,2.666096449E-1,4.746806160E0
3.008256250E0,5.025738571E0,-1.089649833E0,1.882639718E-1,5.145952610E0
3.018219250E0,5.538332393E0,-8.907525533E-1,4.532942837E-1,5.627791886E0
3.028182250E0,5.931982738E0,-7.771497779E-1,6.211812937E-1,6.014835590E0
3.038145250E0,6.306341949E0,-7.668515155E-1,6.731291270E-1,6.388357602E0
3.048107250E0,6.530285046E0,-7.918751134E-1,8.131366128E-1,6.628188299E0
3.058070250E0,6.463756011E0,-7.361011545E-1,9.345060986E-1,6.572312251E0
3.068033250E0,6.361246135E0,-6.098402170E-1,9.005156493E-1,6.453548319E0
3.077996250E0,6.190522640E0,-5.417146729E-1,8.083728862E-1,6.266537487E0
3.087958250E0,6.310247889E0,-4.870585920E-1,7.300014853E-1,6.370977685E0
3.097921250E0,6.374837987E0,-3.444023541E-1,7.526038975E-1,6.428342319E0
